id,host_id,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,instant_bookable,super_host
44237477,356240777,16.0,1,1,Sumida Ku,35.70725,139.80862,Entire home/apt,6,1 bath,1.0,4.0,10143.0,4,100.0,1,1
44237502,356240777,16.0,1,1,Taito Ku,35.7121,139.79251,Entire home/apt,6,1 bath,1.0,4.0,10143.0,5,92.0,1,1
44237522,356240777,16.0,1,1,Sumida Ku,35.70957,139.81117,Entire home/apt,6,1 bath,1.0,4.0,10714.0,5,96.0,1,1
44238541,356479076,0.0,1,1,Shinjuku Ku,35.70653,139.73628,Entire home/apt,8,2 baths,2.0,7.0,8379.0,18,91.0,1,0
44239234,356488250,0.0,1,1,Shinjuku Ku,35.70792,139.73763,Entire home/apt,8,2 baths,2.0,6.0,8743.0,18,96.0,1,1
44252261,352412571,0.0,1,1,Edogawa Ku,35.70422,139.84114,Private room,8,1 private bath,1.0,4.0,3000.0,9,100.0,0,1
44253295,183877565,27.0,1,1,Nakano Ku,35.70493,139.66894,Entire home/apt,15,2 baths,5.0,9.0,14286.0,5,100.0,0,0
44253413,352412571,0.0,1,1,Edogawa Ku,35.70545,139.84153,Private room,2,1 private bath,1.0,1.0,2500.0,9,98.0,0,1
44253501,305151646,5.0,1,1,Kita Ku,35.74208,139.72094,Entire home/apt,10,1.5 baths,3.0,5.0,13714.0,4,85.0,1,0
44253703,352412571,0.0,1,1,Edogawa Ku,35.70518,139.84201,Private room,8,1 private bath,1.0,4.0,8143.0,31,95.0,0,1
44253728,321365764,73.0,1,1,Nakano Ku,35.69212,139.67931,Entire home/apt,2,1.5 baths,1.0,1.0,4513.0,2,90.0,1,0
44254195,344113615,2.0,1,1,Shibuya Ku,35.69066,139.68308,Entire home/apt,4,1 bath,1.0,2.0,7834.0,23,92.0,1,1
44254212,344113615,2.0,1,1,Shinjuku Ku,35.6921,139.68423,Entire home/apt,8,2 baths,2.0,4.0,15223.0,26,95.0,1,1
44254245,352412571,0.0,1,1,Edogawa Ku,35.70377,139.84155,Private room,4,1 private bath,1.0,4.0,2300.0,7,100.0,0,1
44257043,260536243,0.0,1,1,Sumida Ku,35.69942,139.79718,Shared room,6,2.5 shared baths,1.0,5.0,29714.0,0,,1,0
44268931,356663769,0.0,1,1,Ota Ku,35.57993,139.71481,Entire home/apt,4,1 bath,1.0,4.0,6000.0,2,40.0,1,0
44271059,300648108,1.0,1,1,Suginami Ku,35.69739,139.63983,Entire home/apt,12,2.5 baths,2.0,8.0,58000.0,1,80.0,0,0
44282609,176875986,40.0,1,1,Taito Ku,35.71337,139.79397,Entire home/apt,5,1 bath,2.0,0.0,19171.0,4,100.0,1,1
44282876,176875986,40.0,1,1,Taito Ku,35.71358,139.7956,Entire home/apt,4,1 bath,2.0,0.0,19171.0,1,100.0,1,1
44283177,176875986,40.0,1,1,Taito Ku,35.71191,139.79583,Entire home/apt,4,1 bath,2.0,2.0,19171.0,0,,1,1
44299243,216544001,12.0,1,1,Toshima Ku,35.73898,139.70846,Entire home/apt,7,1 bath,2.0,5.0,28889.0,0,,1,0
44301520,76455393,0.0,1,1,Sumida Ku,35.71949,139.81613,Entire home/apt,8,2 baths,2.0,4.0,6667.0,4,100.0,1,1
44308073,49124251,39.0,1,1,Taito Ku,35.71726,139.79191,Private room,2,1.5 shared baths,1.0,2.0,7999.0,0,,0,1
44308200,49124251,39.0,1,1,Taito Ku,35.71929,139.79186,Private room,2,1.5 baths,1.0,2.0,7999.0,1,80.0,0,1
44308205,49124251,39.0,1,1,Taito Ku,35.71929,139.79375,Private room,2,1.5 baths,1.0,2.0,7999.0,3,93.0,0,1
44308286,49124251,39.0,1,1,Taito Ku,35.7185,139.79359,Private room,2,1.5 baths,1.0,2.0,8999.0,1,100.0,0,1
44308327,49124251,39.0,1,1,Taito Ku,35.7174,139.79224,Private room,2,1.5 shared baths,1.0,0.0,8999.0,0,,0,1
44308583,49124251,39.0,1,1,Taito Ku,35.71791,139.79403,Private room,2,1.5 baths,1.0,2.0,8111.0,0,,0,1
44308622,49124251,39.0,1,1,Taito Ku,35.71869,139.79378,Private room,2,1.5 baths,1.0,0.0,8111.0,1,100.0,0,1
44308671,49124251,39.0,1,1,Taito Ku,35.71768,139.79413,Private room,2,Private half-bath,1.0,0.0,8999.0,1,60.0,0,1
44308754,49124251,39.0,1,1,Taito Ku,35.71863,139.79239,Private room,2,1.5 baths,1.0,0.0,8999.0,0,,0,1
44308781,49124251,39.0,1,1,Taito Ku,35.71742,139.79365,Private room,2,1.5 shared baths,1.0,0.0,8999.0,1,100.0,0,1
44308809,49124251,39.0,1,1,Taito Ku,35.71737,139.79377,Private room,2,1.5 baths,1.0,0.0,8999.0,3,100.0,0,1
44326063,357566030,1.0,1,1,Taito Ku,35.70723,139.77303,Shared room,5,2 shared baths,1.0,5.0,10571.0,0,,1,0
